Month,Hour,Hight ,Windvane,Temperature,Humidity,Pressure,Wind Speed,Wind Power
12,23,80,254,6.987,58.472,968.609,9.834,1015.439398
12,23,78,254,6.987,58.472,968.609,9.798,1004.328306
12,23,60,254,6.987,58.472,968.609,9.593,942.5984712
12,23,40,254,6.987,58.472,968.609,9.271,850.8306784
12,23,20,254,6.987,58.472,968.609,8.771,720.4614215
12,23,80,260,7.231,56.152,968.683,9.521,921.533427
12,23,80,267,7.231,54.81,968.683,9.267,849.7298733
12,23,78,260,7.231,56.152,968.683,9.515,919.7923126
12,23,78,267,7.231,54.81,968.683,9.259,847.5311125
12,23,60,260,7.231,56.152,968.683,9.422,893.0847989
12,23,60,267,7.231,54.81,968.683,9.131,812.8650032
12,23,40,260,7.231,56.152,968.683,9.322,864.9493834
12,23,40,267,7.231,54.81,968.683,8.891,750.4387102
12,23,20,260,7.231,56.152,968.683,8.996,777.3412922
12,23,20,267,7.231,54.81,968.683,8.449,643.990303
12,23,80,273,7.354,52.124,968.463,9.426,894.222728
12,23,80,263,7.354,54.199,968.39,9.824,1012.344806
12,23,78,273,7.354,52.124,968.463,9.427,894.5073612
12,23,78,263,7.354,54.199,968.39,9.823,1012.035693
12,23,60,273,7.354,52.124,968.463,9.285,854.6909824
12,23,60,263,7.354,54.199,968.39,9.74,986.5980853
12,23,40,273,7.354,52.124,968.463,9.055,792.7363297
12,23,40,263,7.354,54.199,968.39,9.508,917.7637858
12,23,20,273,7.354,52.124,968.463,8.615,682.6989627
12,23,20,263,7.354,54.199,968.39,9.135,813.9337419
12,23,80,274,7.476,52.49,968.463,9.925,1043.890497
12,23,78,274,7.476,52.49,968.463,9.93,1045.46896
12,23,60,274,7.476,52.49,968.463,9.821,1011.417656
12,23,40,274,7.476,52.49,968.463,9.599,944.3682394
12,23,20,274,7.476,52.49,968.463,9.067,795.8921933
1,23,80,266,10.527,61.157,970.367,4.96,130.2892029
1,23,78,266,10.527,61.157,970.367,4.964,130.604673
1,23,60,266,10.527,61.157,970.367,5.161,146.779355
1,23,40,266,10.527,61.157,970.367,5.246,154.1516779
1,23,20,266,10.527,61.157,970.367,5.414,169.4408619
1,23,80,268,10.649,60.791,970.367,5.238,153.4475222
1,23,78,268,10.649,60.791,970.367,5.306,159.5016333
1,23,60,268,10.649,60.791,970.367,5.572,184.7126848
1,23,40,268,10.649,60.791,970.367,5.765,204.5791324
1,23,20,268,10.649,60.791,970.367,5.898,219.067374
1,23,80,267,10.771,60.059,970.367,5.588,186.308466
1,23,80,302,10.771,75.684,972.491,12.498,2000
1,23,78,267,10.771,60.059,970.367,5.638,191.3544702
1,23,78,302,10.771,75.684,972.491,12.479,2000
1,23,60,267,10.771,60.059,970.367,6.01,231.7857934
1,23,60,302,10.771,75.684,972.491,12.051,1868.670188
1,23,40,267,10.771,60.059,970.367,6.284,264.9548824
1,23,40,302,10.771,75.684,972.491,11.523,1633.654011
1,23,20,267,10.771,60.059,970.367,6.366,275.4630175
1,23,20,302,10.771,75.684,972.491,10.712,1312.426798
1,23,80,271,10.894,59.204,970.44,5.698,197.5289396
1,23,78,271,10.894,59.204,970.44,5.733,201.1913121
1,23,60,271,10.894,59.204,970.44,5.981,228.4466558
1,23,40,271,10.894,59.204,970.44,6.108,243.3102936
1,23,20,271,10.894,59.204,970.44,6.103,242.7132622
1,23,80,278,11.016,58.716,970.587,6.295,266.348712
1,23,80,277,11.016,58.96,970.514,5.777,205.8593041
1,23,78,278,11.016,58.716,970.587,6.336,271.5869535
1,23,78,277,11.016,58.96,970.514,5.801,208.4356467
1,23,60,278,11.016,58.716,970.587,6.527,296.8959243
1,23,60,277,11.016,58.96,970.514,6.12,244.7471617
1,23,40,278,11.016,58.716,970.587,6.742,327.2123163
1,23,40,277,11.016,58.96,970.514,6.296,266.4756656
1,23,20,278,11.016,58.716,970.587,6.72,324.0195517
1,23,20,277,11.016,58.96,970.514,6.313,268.6400537
1,23,80,308,11.26,79.346,971.979,11.974,1833.078903
1,23,78,308,11.26,79.346,971.979,11.898,1798.395849
1,23,60,308,11.26,79.346,971.979,11.013,1426.199616
1,23,40,308,11.26,79.346,971.979,9.856,1022.269685
1,23,20,308,11.26,79.346,971.979,8.996,777.3412922
1,23,80,305,11.504,78.857,972.052,11.776,1743.63986
1,23,80,316,11.504,77.026,971.905,10.751,1326.81381
1,23,78,305,11.504,78.857,972.052,11.729,1722.845594
1,23,78,316,11.504,77.026,971.905,10.67,1297.049814
1,23,60,305,11.504,78.857,972.052,11.343,1558.28609
1,23,60,316,11.504,77.026,971.905,9.799,1004.635848
1,23,40,305,11.504,78.857,972.052,10.673,1298.144166
1,23,40,316,11.504,77.026,971.905,9.011,781.236214
1,23,20,305,11.504,78.857,972.052,9.929,1045.15314
1,23,20,316,11.504,77.026,971.905,8.681,698.5100617
