Month,Hour,Hight ,Windvane,Temperature,Humidity,Pressure,Wind Speed
4,8,60,316,6.743,20.996,969.269,5.692
12,0,40,260,6.743,60.913,968.39,8.869
12,0,40,263,6.743,60.303,968.39,8.918
12,1,40,261,6.743,59.692,968.39,9.131
12,2,40,267,6.743,57.983,968.17,10.015
12,3,40,268,6.743,57.007,968.39,9.99
12,3,40,267,6.743,56.274,968.536,10.387
12,5,40,270,6.743,57.495,969.195,9.959
12,5,40,263,6.743,57.983,969.269,9.802
4,9,40,114,6.743,17.578,970.001,6.698
4,8,40,316,6.743,20.996,969.269,5.564
12,0,20,260,6.743,60.913,968.39,8.449
12,0,20,263,6.743,60.303,968.39,8.373
12,1,20,261,6.743,59.692,968.39,8.683
12,2,20,267,6.743,57.983,968.17,9.58
12,3,20,268,6.743,57.007,968.39,9.064
12,3,20,267,6.743,56.274,968.536,9.802
12,5,20,270,6.743,57.495,969.195,9.697
12,5,20,263,6.743,57.983,969.269,9.519
4,9,20,114,6.743,17.578,970.001,6.503
4,8,20,316,6.743,20.996,969.269,5.321
12,0,80,250,6.865,61.279,968.536,10.179
12,0,80,254,6.865,60.547,968.463,9.311
12,0,80,260,6.865,61.035,968.316,9.225
12,1,80,264,6.865,57.983,968.17,11.275
12,1,80,270,6.865,57.251,968.17,12.41
12,1,80,270,6.865,56.519,968.17,10.426
12,1,80,264,6.865,57.495,968.023,10.226
12,2,80,267,6.865,56.885,967.95,9.45
12,2,80,268,6.865,57.129,968.097,10.529
12,5,80,263,6.865,58.96,969.488,10.363
12,5,80,261,6.865,59.692,969.562,11.246
1,7,80,97,6.865,36.621,972.857,4.595
12,0,78,250,6.865,61.279,968.536,10.181
12,0,78,254,6.865,60.547,968.463,9.329
12,0,78,260,6.865,61.035,968.316,9.193
12,1,78,264,6.865,57.983,968.17,11.244
12,1,78,270,6.865,57.251,968.17,12.433
12,1,78,270,6.865,56.519,968.17,10.426
12,1,78,264,6.865,57.495,968.023,10.208
12,2,78,267,6.865,56.885,967.95,9.429
12,2,78,268,6.865,57.129,968.097,10.526
12,5,78,263,6.865,58.96,969.488,10.372
12,5,78,261,6.865,59.692,969.562,11.246
