Month,Hight ,Windvane,Temperature,Humidity,Pressure,Wind Speed
1,78,281,5.767,41.87,970.367,10.521
1,78,327,5.767,19.165,972.271,5.254
2,78,216,5.767,45.288,965.313,10.953
4,78,79,5.767,25.146,967.95,6.236
4,78,64,5.767,16.602,966.192,2.549
1,60,281,5.767,41.87,970.367,10.362
1,60,327,5.767,19.165,972.271,5.369
2,60,216,5.767,45.288,965.313,10.276
4,60,79,5.767,25.146,967.95,6.091
4,60,64,5.767,16.602,966.192,2.846
1,40,281,5.767,41.87,970.367,10.14
1,40,327,5.767,19.165,972.271,5.44
2,40,216,5.767,45.288,965.313,9.009
4,40,79,5.767,25.146,967.95,6.291
4,40,64,5.767,16.602,966.192,3.557
1,20,281,5.767,41.87,970.367,9.836
1,20,327,5.767,19.165,972.271,5.541
2,20,216,5.767,45.288,965.313,7.758
4,20,79,5.767,25.146,967.95,6.623
4,20,64,5.767,16.602,966.192,4.24
1,80,10,5.889,36.865,971.612,4.61
2,80,312,5.889,42.969,970.44,5.101
2,80,311,5.889,45.41,970.44,4.906
2,80,343,5.889,44.312,970.44,11.867
3,80,222,5.889,28.687,968.902,3.541
1,78,10,5.889,36.865,971.612,4.634
2,78,312,5.889,42.969,970.44,5.105
2,78,311,5.889,45.41,970.44,4.915
2,78,343,5.889,44.312,970.44,11.72
3,78,222,5.889,28.687,968.902,3.267
1,60,10,5.889,36.865,971.612,4.723
2,60,312,5.889,42.969,970.44,5.161
2,60,311,5.889,45.41,970.44,4.882
2,60,343,5.889,44.312,970.44,10.773
3,60,222,5.889,28.687,968.902,2.119
1,40,10,5.889,36.865,971.612,5.119
2,40,312,5.889,42.969,970.44,5.18
2,40,311,5.889,45.41,970.44,4.957
2,40,343,5.889,44.312,970.44,9.79
3,40,222,5.889,28.687,968.902,1.628
1,20,10,5.889,36.865,971.612,5.539
2,20,312,5.889,42.969,970.44,5.263
2,20,311,5.889,45.41,970.44,5.141
2,20,343,5.889,44.312,970.44,8.911
3,20,222,5.889,28.687,968.902,1.469
1,80,1,6.011,21.24,973.224,8.173
3,80,287,6.011,19.409,967.145,0.667
4,80,301,6.011,31.006,968.463,4.241
5,80,349,6.011,30.518,964.215,6.351
1,78,1,6.011,21.24,973.224,8.155
3,78,287,6.011,19.409,967.145,0.664
4,78,301,6.011,31.006,968.463,4.241
5,78,349,6.011,30.518,964.215,6.356
1,60,1,6.011,21.24,973.224,7.873
3,60,287,6.011,19.409,967.145,0.827
4,60,301,6.011,31.006,968.463,4.165
5,60,349,6.011,30.518,964.215,6.258
1,40,1,6.011,21.24,973.224,7.53
3,40,287,6.011,19.409,967.145,1.085
4,40,301,6.011,31.006,968.463,4.029
5,40,349,6.011,30.518,964.215,6.039
1,20,1,6.011,21.24,973.224,7.16
3,20,287,6.011,19.409,967.145,1.713
4,20,301,6.011,31.006,968.463,3.957
5,20,349,6.011,30.518,964.215,5.656
2,80,266,6.133,41.626,970.807,8.602
2,80,243,6.133,48.828,969.122,9.223
2,78,266,6.133,41.626,970.807,8.555
2,78,243,6.133,48.828,969.122,9.134
2,60,266,6.133,41.626,970.807,8.521
2,60,243,6.133,48.828,969.122,8.957
2,40,266,6.133,41.626,970.807,8.348
2,40,243,6.133,48.828,969.122,8.896
2,20,266,6.133,41.626,970.807,8.205
2,20,243,6.133,48.828,969.122,8.837
12,80,247,6.255,62.256,968.683,10.954
12,80,250,6.255,61.768,968.829,11.121
12,78,247,6.255,62.256,968.683,10.941
12,78,250,6.255,61.768,968.829,11.09
12,60,247,6.255,62.256,968.683,10.832
12,60,250,6.255,61.768,968.829,10.856
12,40,247,6.255,62.256,968.683,10.487
12,40,250,6.255,61.768,968.829,10.394
12,20,247,6.255,62.256,968.683,9.924
12,20,250,6.255,61.768,968.829,9.702
12,80,260,6.377,61.646,968.17,9.903
12,80,257,6.377,59.448,968.536,11.774
12,80,257,6.377,59.448,968.609,11.219
2,80,104,6.377,20.874,969.488,9.008
5,80,52,6.377,15.137,965.606,7.445
12,78,260,6.377,61.646,968.17,9.915
12,78,257,6.377,59.448,968.536,11.759
12,78,257,6.377,59.448,968.609,11.214
2,78,104,6.377,20.874,969.488,9.112
5,78,52,6.377,15.137,965.606,7.462
12,60,260,6.377,61.646,968.17,9.799
12,60,257,6.377,59.448,968.536,11.586
12,60,257,6.377,59.448,968.609,10.962
2,60,104,6.377,20.874,969.488,9.919
5,60,52,6.377,15.137,965.606,7.378
12,40,260,6.377,61.646,968.17,9.479
12,40,257,6.377,59.448,968.536,11.236
12,40,257,6.377,59.448,968.609,10.747
2,40,104,6.377,20.874,969.488,10.318
5,40,52,6.377,15.137,965.606,7.285
12,20,260,6.377,61.646,968.17,8.915
12,20,257,6.377,59.448,968.536,10.705
12,20,257,6.377,59.448,968.609,10.18
2,20,104,6.377,20.874,969.488,9.943
5,20,52,6.377,15.137,965.606,7.011
12,80,263,6.499,60.791,968.023,9.555
12,80,264,6.499,59.57,968.316,7.973
12,80,261,6.499,58.594,968.609,10.13
12,80,256,6.499,60.303,968.609,10.25
12,80,256,6.499,60.059,969.049,10.876
4,80,104,6.499,14.893,967.804,2.316
12,78,263,6.499,60.791,968.023,9.561
12,78,264,6.499,59.57,968.316,7.967
12,78,261,6.499,58.594,968.609,10.118
12,78,256,6.499,60.303,968.609,10.233
12,78,256,6.499,60.059,969.049,10.85
4,78,104,6.499,14.893,967.804,2.307
12,60,263,6.499,60.791,968.023,9.449
12,60,264,6.499,59.57,968.316,7.829
12,60,261,6.499,58.594,968.609,9.939
12,60,256,6.499,60.303,968.609,9.975
12,60,256,6.499,60.059,969.049,10.638
4,60,104,6.499,14.893,967.804,2.263
12,40,263,6.499,60.791,968.023,9.175
12,40,264,6.499,59.57,968.316,7.56
12,40,261,6.499,58.594,968.609,9.613
12,40,256,6.499,60.303,968.609,9.579
