Month,Hight ,Windvane,Temperature,Humidity,Pressure,Wind Speed,Wind Power
12,80,358,15.166,61.646,971.026,4.084,72.73117401
12,80,358,15.166,62.256,971.1,4.143,75.92909045
12,78,358,15.166,61.646,971.026,4.112,74.23739356
12,78,358,15.166,62.256,971.1,4.178,77.8697364
12,60,358,15.166,61.646,971.026,4.189,78.48641253
12,60,358,15.166,62.256,971.1,4.322,86.20206811
12,40,358,15.166,61.646,971.026,4.441,93.5202625
12,40,358,15.166,62.256,971.1,4.519,98.53497747
12,20,358,15.166,61.646,971.026,4.677,109.2359292
12,20,358,15.166,62.256,971.1,4.723,112.4908593
12,80,358,15.532,56.03,970.807,2.881,25.53249012
12,78,358,15.532,56.03,970.807,2.84,24.45785792
12,60,358,15.532,56.03,970.807,2.789,23.16375381
12,40,358,15.532,56.03,970.807,2.57,18.12436366
12,20,358,15.532,56.03,970.807,2.533,17.35277625
12,80,358,17.241,50.293,970.514,5.001,133.5469461
12,78,358,17.241,50.293,970.514,4.996,133.1467857
12,60,358,17.241,50.293,970.514,4.907,126.1570635
12,40,358,17.241,50.293,970.514,4.857,122.3397836
12,20,358,17.241,50.293,970.514,4.879,124.0097557
12,80,358,17.485,50.293,970.587,5.028,135.7216731
12,78,358,17.485,50.293,970.587,5.025,135.4788794
12,60,358,17.485,50.293,970.587,4.948,129.3458415
12,40,358,17.485,50.293,970.587,4.886,124.5442798
12,20,358,17.485,50.293,970.587,4.897,125.3873459
12,80,358,17.974,48.706,968.756,7.623,472.9782357
12,78,358,17.974,48.706,968.756,7.61,470.5625579
12,60,358,17.974,48.706,968.756,7.423,436.7186907
12,40,358,17.974,48.706,968.756,7.092,380.8636967
12,20,358,17.974,48.706,968.756,6.786,333.6606285
12,80,358,18.584,44.312,968.463,6.628,310.8929665
12,80,358,18.584,46.265,972.491,5.879,216.9570556
12,78,358,18.584,44.312,968.463,6.617,309.347636
12,78,358,18.584,46.265,972.491,5.882,217.2893587
12,60,358,18.584,44.312,968.463,6.282,264.7019824
12,60,358,18.584,46.265,972.491,5.817,210.1650953
12,40,358,18.584,44.312,968.463,5.917,221.1913328
12,40,358,18.584,46.265,972.491,5.809,209.2991801
12,20,358,18.584,44.312,968.463,5.575,185.0111969
12,20,358,18.584,46.265,972.491,5.578,185.3100305
12,80,358,18.706,43.701,968.536,5.101,141.7194206
12,78,358,18.706,43.701,968.536,5.076,139.6459156
12,60,358,18.706,43.701,968.536,4.76,115.1553861
12,40,358,18.706,43.701,968.536,4.406,91.32651304
12,20,358,18.706,43.701,968.536,4.125,74.94372169
12,80,358,19.072,33.203,970.733,7.075,378.1313892
12,78,358,19.072,33.203,970.733,7.071,377.4903981
12,60,358,19.072,33.203,970.733,6.808,336.9163126
12,40,358,19.072,33.203,970.733,6.654,314.5660053
12,20,358,19.072,33.203,970.733,6.576,303.6328886
12,80,358,20.293,35.034,972.125,5.855,214.3108189
12,78,358,20.293,35.034,972.125,5.813,209.7318398
12,60,358,20.293,35.034,972.125,5.582,185.7089755
12,40,358,20.293,35.034,972.125,5.43,170.9475522
12,20,358,20.293,35.034,972.125,5.216,151.5221576
11,80,358,23.833,38.452,964.728,7.019,369.2233215
11,78,358,23.833,38.452,964.728,6.976,362.4789686
11,60,358,23.833,38.452,964.728,6.779,332.6291449
11,40,358,23.833,38.452,964.728,6.463,288.2477098
11,20,358,23.833,38.452,964.728,6.02,232.9447202
11,80,358,23.955,52.002,967.877,6.229,258.0586317
11,78,358,23.955,52.002,967.877,6.204,254.9639419
11,60,358,23.955,52.002,967.877,5.751,203.0923199
11,40,358,23.955,52.002,967.877,5.364,164.7895642
11,20,358,23.955,52.002,967.877,4.945,129.1107148
11,80,358,24.199,48.462,967.438,4.104,73.80494381
11,78,358,24.199,48.462,967.438,4.075,72.25139503
11,60,358,24.199,48.462,967.438,3.803,58.72761634
11,40,358,24.199,48.462,967.438,3.675,52.99506485
11,20,358,24.199,48.462,967.438,3.646,51.75036182
10,80,358,27.373,36.743,968.023,6.39,278.5902879
10,78,358,27.373,36.743,968.023,6.334,271.32985
10,60,358,27.373,36.743,968.023,5.988,229.2496982
10,40,358,27.373,36.743,968.023,5.427,170.6643702
10,20,358,27.373,36.743,968.023,5.104,141.9696118
5,80,358,31.646,15.137,968.316,10.732,1319.79169
5,78,358,31.646,15.137,968.316,10.846,1362.298248
5,60,358,31.646,15.137,968.316,10.626,1281.069915
5,40,358,31.646,15.137,968.316,10.453,1219.512479
5,20,358,31.646,15.137,968.316,10.207,1135.423143
3,80,358,8.086,19.531,970.367,7.188,396.5405485
3,78,358,8.086,19.531,970.367,7.161,392.0887837
3,60,358,8.086,19.531,970.367,7.3,415.3669887
3,40,358,8.086,19.531,970.367,7.337,421.7149089
3,20,358,8.086,19.531,970.367,7.143,389.1395282
2,80,358,8.086,22.949,970.514,6.699,320.9913513
2,78,358,8.086,22.949,970.514,6.651,314.1407246
2,60,358,8.086,22.949,970.514,6.654,314.5660053
2,40,358,8.086,22.949,970.514,6.544,299.2218265
2,20,358,8.086,22.949,970.514,6.381,277.414803
1,80,358,16.509,34.668,968.097,6.048,236.2102532
1,78,358,16.509,34.668,968.097,6.001,230.7460514
1,60,358,16.509,34.668,968.097,5.704,198.1535915
1,40,358,16.509,34.668,968.097,5.369,165.2508148
1,20,358,16.509,34.668,968.097,5.077,139.7284649
1,80,358,20.659,22.461,969.415,1.283,2.254983491
